한글명,영문명
광고,Advertisement
자문,Advice
변호인,Advocate
진술서,Affidavit
소속,Affiliated
후,After
후 변경,After Change
사후,After The Fact
업데이트 후,After Update
그 후,Afterward
반대,Against
연령,Age
기관,Agency
기관 공지,Agency Notice
의제,Agenda
대리인,Agent
악화,Aggravation
집계,Aggregate
노후화,Aging
동의,Agree
합의,Agreement
농업,Agriculture
AI,Ai
지원,Aid
목표,Aim
항공 운송장,Air waybill
항공기,Aircraft
항공사,Airline
항공기 입항 및 이륙,Airplain Entry Into Port & Take-Off
비행기,Airplane
공항,Airport
체공 시간,Airtime
경보,Alarm
주류,Alcohol
경보,Alert
알고리즘,Algorithm
별칭,Alias
정렬,Align
모두,All
주장,Allegation
주장됨,Alleged
할당됨,Allocated
할당,Allocation
할당,Allotment
허용됨,Allow
알파벳,Allowable
이미,Allowance
변경,Allowed
알파,Alpha
이미,Already
변경,Alteration
대안,Alternative
모호성,Ambiguity
수정,Amend
수정,Amendment
보완,Amercement
우호적,Amicable
수정됨,Ammended
탄약,Ammunition
분석,Amnesty
분석가,Amortization
금액,Amount
조상,Analysis
정박,Analyst
정박,Analyzer
동물,Ancestor
부속서,Anchorage
기념일,Anchoring
동물,Animal
부속서,Annex
기념일,Anniversary
공고,Announcement
연간,Annual
연간 활동 계획,Annual Action PLAN
연간 임금 지급,Annual wage paid
연간,Annually
익명성,Anonymity
익명,Anonymous
답변,Answer
답변자,Answer Person
예상,Anticipation
반덤핑,Antidumping
반덤핑 관세,Antidumping Tariff
모든,Any
언제든지,Anytime
아파트,Apartment
APIS,Apis
장치,Apparatus
항소,Appeal
출두,Appearance
항소인,Appellant
항소,Appellation
해당,Applicable
신청인,Applicant
신청서,Application
신청 기간,Application Form
신청,Application Period
임명,Applied
임명인,Apply
임명인,Appoinment
임명,Appointee
배분,Appointer
평가,Appointment
평가사,Apportionment
압류,Appraisal
접근 방식,Appraiser
적정성,Apprehension
적정성,Approach
승인,Appropriacy
승인 라인,Appropriation
승인,Approval
승인,Approval Line
승인자,Approve
4월,Approved
중재인,Approver
면적,April
논쟁,Arbitrator
무기,Area
배치,Argument
배열,Arms
체납,Arrangement
체포,Array
체포인,Arrears
도착,Arrest
피뢰기,Arrester
도착,Arrival
도착 위치,Arriving Location
물품,Article
항공기용 물품,Articles For Aircraft
선박용 물품,Articles For Ship
선박 및 항공기용 물품,Articles For Ship & Aircraft
측면 지향 프로그래밍,Aspect Oriented Programming
조립자,Assembler
조립,Assembling
주장,Assertion
평가됨,Assessed
평가,Assessment
평가자,Assessor
자산,Asset
재게시 가능 자산,Asset Available for Republishing
자산,Assets
압류된 자산,Assets distrained
압류된 자산,Assets restrained
양도인,Assign
양도인,Assigned
양도인,Assignee
양도,Assigner
양도 장소,Assignment
양도인,Assignment Place
지원,Assignor
지원자,Assistance
관련,Assistant
연관,Associated
보증,Association
보증인,Assurance
시점,Assured
현금,Assureur
첨부,At
첨부됨,Atm
첨부 문서 첨부,Attach
첨부,Attached
시도,Attaching Documents
참석,Attachment
출석,Attempt
참석자,Attend
참석자,Attendance
주의,Attendant
변호사,Attendee
속성,Attention
경매,Attorney
경매됨,Attribute
청중,Auction
감사,Auctioned
감사 담당자,Audience
감사 결과,Audit
감사 팀,Audit Officer
감사법인,Audit Result
감사,Audit Team
감사인,Auditfirm
8월,Auditing
인증,Auditor
진정성,August
인증,Authentication
진위성,Authenticity
승인자,Author
권한 있는,Authoritative
권한,Authority
승인,Authorization
승인,Authorize
승인된,Authorized
승인된 경제 운영자,Authorized economic operator
승인자,Authorizer
세관 데이터 자동화 시스템,Automated system for customs data
자동,Automatic
가용성,Availability
가용성,Available
평균,Average
회피,Avoidance
인지,Awareness
축,Axel
축,Axis
축,Axle
B,B
BOT,BOT
BRELA,BRELA
뒤,Back
배경,Background
백업,Backup
불량,Bad
수하물,Bag
수하물,Baggage
집행관,Bailiff
잔액,Balance
잔액,Balanced
밸러스트,Ballast
밴드,Band
은행,Bank
은행 명세서,Bank statement
통장,Bankbook
은행 계좌,Banked
은행원,Banker
파산,Bankruptcy
바라바라,Barabara
바코드,Barcode
바지선,Barge
베이스,Base
기본,Basic
기본,Basics
기본 관세율,Basics Tariff Rate
베이스,Basis
배포 기준,Basis Of Hand Out
베이스 목표,Basis Target
배치,Batch
배스,Bath
배터리,Battery
근무 중,Be At Work
무인 양도성 증권,Bearer negotiable instruments
되기,Becoming
침대,Bed
맥주,Beer
이전,Before
변경 전,Before Change
도착 전,Before Come
진술 전,Before Statement
업데이트 전,Before Update
사전,Beforehand
사전 안내,Beforehand Guidance
시작,Begin
시작,Beginning
행동,Behavior
소유,Belong
소지품,Belongings
아래,Below
수혜자,Beneficiary
혜택,Benefit
정박지,Berth
정박지수,Berthage
베팅,Bet
Bfile,Bfile
Bgft,Bgft
입찰,Bid
입찰자,Bidder
자전거,Bike
청구서,Bill
선하증권,Bill of lading
청구인,Biller
바이너리 데이터,Binary data
바이너리 값,Binary value
생체 정보,Biological
생체 인식,Biometric
새,Bird
출생,Birth
공란,Blank
차단,Block
차단 또는 후드,Block or hood
차단/차단 해제,Block/UnBlock
차단됨,Blocked
차단 중,Blocking
파란색,Blue
파란색 해제,Blue release
블루투스,Bluetooth
탑승자,Board
탑승,Boarder
탑승 장소,Boarding
신체,Boarding Location
체중,Body
보증금,Body Weight
보세,Bond
보세 운송,Bonded
보세 창고,Bonded Transportation
보닛,Bonded warehouse
보너스,Bonnet
예약,Bonus
예약,Book
부울 값,Booking
보딩,Boolean value
보딩,Bord
운송 전자 국경,Border
전자식 화물차단기,Bordereau Electronique Du Suivi Des Cargaisons
차용인,Borrower
차용,Borrowing
병,Bottle
바닥,Bottom
반송,Bounced
바운드,Bound
경계,Boundary
경계,Bounded
경계,Box
상자,Boy
소년,Branch
지점,Brand
브랜드,Break
파손,Breakdown
고장,Breeder
육성인,Bring
가져오기,Broadcast
방송,Broker
중개인,Brokerage
중개,Browser
브라우저,Budget
예산,Buffer
버퍼,Build
구축,Building
구축,Built-In
내장,Bulk
대량,Bulletin
게시판,Bulletin board
게시판 메시지,Bulletin board message
묶음,Bundle
벙커,Bunker
부담,Burdened
버스,Bus
사업,Business
사업 승인,Business Approve
고유 사업 식별,Business Identification Unique
사업 운영,Business Operations
사업 주문,Business Order
사업 연결,Business connection
사업가,Businessman
버튼,Button
구매,Buy
구매자,Buyer
중량,Bwt
기준,By
부산물,By-Product
조례,Bylaw
바이트,Byte
C,C
C17,C17
C32,C32
C35,C35
C45,C45
CBF,CBF
CDI,CDI
CG,CG
CIF,CIF
객실,Cabin
케이블,Cable
캐시,Cache
카페,Caf
계산,Calculate
계산됨,Calculated
계산됨,Calculation
캘린더,Calendar
구경,Caliber
호출,Call
호출 부호,Call sign
콜백,Callback
캠버,Camber
카메론 데이터웨어하우스 시스템,Cameron Datawarehouse System
카메룬 산림청,Cameroon Forest Service
위장,Camouflage
캠페인,Campaign
캠레일,Camrail
취소,Cancel
신고 취소,Cancel Declaring
적재 취소,Cancel Loading
취소자,Canceler
공식 기관에 의한 취소,Canceling By Official Authority
취소,Cancellation
취소 통지,Cancellation Notice
취소됨,Cancelled
후보,Candidacy
후보,Candidate
용량,Capability
용량,Capacity
자본,Capital
양도소득세,Capital Gain Tax
자본재,Capital Goods
선장,Captain
포획,Capture
차량,Car
카드,Card
기수,Cardinality
관리,Care
경력,Career
화물,Cargo
화물 추적,Cargo Tracing
화물 적하 목록,Cargo manifest
화물 참조 번호,Cargo reference number
칼링,Carling
카르네,Carnet
캐러셀,Carousel
운송비 지불 대상,Carriage paid to
운송,Carried
운송인,Carrier
반입,Carry in
반입/반출,Carry in/out
반출,Carry out
운송,Carrying
운송비,Carrying Charge
카트,Cart
케이스,Case
현금,Cash
계산원,Cashier
카지노,Casino
캐주얼,Casual
카탈로그,Catalog
카테고리,Category
케이터링,Catering
사유,Cause
중단,Cease
양도,Cede
셀룰러,Cellular
시멘트,Cement
검열,Censorship
센터,Center
중앙,Central
중앙 스캐닝 시스템,Centralized scanning system
센터,Centre
중앙 운전면허 시스템,Centre driving lincense system
증명서,Certificate
집행관 명령서 증명서,Certificate Bailiff Order
확인 증명서,Certificate Of Confirmation
자격 증명서,Certificate Of Qualification
수입 확인 증명서,Certificate Of Verification Of Import
증명서 용지,Certificate Paper
납세 증명서,Certificate of Tax Payment
영수증 증명서,Certificating For A Receipt
목재 운송 증명서,Certificating For Log Transportation
증명서,Certification
인증됨,Certified
중단,Cessation
체인,Chain
회장,Chairman
이의 제기,Challenge
변경,Change
소유권 변경,Change of Ownership
변경자,Changer
채널,Channel
장,Chapter
특징,Character
특징1,Character1
특징2,Character2
특징3,Character3
특징,Characteristic
부과,Charge
자산 과징금,Charge Over Asset
과징 가능,Chargeable
과징됨,Charged
차트,Chart
전세,Charter
전세 계약자,Charterer
섀시,Chassis
점검,Check
점검 완료,Checked
점검자,Checker
체크인,Checkin
체크리스트,Checklist
체크아웃,Checkout
체크포인트,Checkpoint
셰프 드 세크퇴르,Chef De Secteur
화학식,Chemical Formula
화학,Chemistry
수표,Cheque
최고경영자,Chief executive officer
아동,Child
아동들,Children
칠레,Chile
중국,China
초이스,Choice
청크,Chunk
시가,Cigar
담배,Cigarette
담배 봉인,Ciled
시크,Ciq
순환,Circular
유통,Circulation
원주,Circumference
상황,Circumstance
상황,Circumstances
소환장,Citation
시민,Citizen
시민,City
민사,Civil
민사법,Civil Affairs
민사인,Civil Law
Ckp,Civilian
청구,Ckp
청구 가능,Claim
청구인,Claimable
청구됨,Claimant
투시력,Claimed
명확화,Clairvoyant
등급,Clarification
직책 등급,Class
등급1,Class Of Position
등급123,Class1
등급2,Class123
등급3,Class2
등급4,Class3
등급5,Class4
등급5678,Class5
등급6,Class5678
등급7,Class6
등급8,Class7
분류,Class8
조항,Classification
결과 보고서 정리,Clause
청소,Clean report of findings
정리 완료,Cleaning
정리 완료,Cleanup
클리어,Clear
통관,Clearance
통관 증명서,Clearance certificate
통관,Clearence
통관 및 포워딩 대행인,Clearing and forwarding agent
고객,Client
기후,Climate
클롭,Clob
폐쇄,Close
폐쇄됨,Closed
폐쇄된 문,Closed-Door
폐쇄기,Closer
폐쇄 중,Closing
폐쇄,Closure
의류,Clothes
클러스터,Cluster
CMA,Cma
CNF,Cnf
코칭,Coaching
해안,Coast
코팅,Coating
COB,Cob
코드,Code
계수,Coefficient
범죄 인식,Cognizance Of Crime
동시,Coincident
협력,Collaboration
협력 프로토콜 계약,Collaboration protocol agreement
수집,Collect
수집 가능,Collectable
수집됨,Collected
수집자,Collecter
수집,Collection
수집 경로,Collection Route
수집자,Collector
색상,Color
색상,Colour
열,Column
합집,Combine
합집,Combined
합집,Combining
오다,Come
명령,Command
개시,Commencement
표창,Commendation
논평,Comment
상업,Commerce
상업,Commercial
위원,Commisioner
위원회,Commission
위원,Commissioner
위원,Commissioner for Tax Investigations
세무 조사 위원,Commissioner for customs and excise
관세 및 소비세 위원,Commit
약속,Commitment
위원회,Committee
상품,Commodity
공통,Common
동아프리카 및 남아프리카 공동시장,Common market for eastern and southern africa
공동체,Commune
소통,Communicate
소통,Communication
공동체,Community
교환,Commutation
동반자,Companion
회사,Company
비교,Comparing
비교,Comparison
역량,Competence
경쟁,Competition
편찬,Compilation
불만,Complaint
완료,Completed
완료,Completion
준수,Compliance
법률 및 규정 준수 규모,Compliance Scale Of Laws And Regulations
구성 요소,Component
구성 요소,Components
구성,Composition
복합,Compound
복합자,Compounder
복합,Compoundment
포괄적,Comprehensive
압축,Compress
계산,Computation
계산된,Computed
컴퓨터,Computer
컴퓨터화된,Computerized
컴퓨터화된 자동차 등록 시스템,Comupterized motor vehicle registration system
은폐,Concealment
집중,Concentrate
관심,Concerned
양보,Concession
결론,Conclude
결론,Conclusion
동의,Concurrence
조건,Condition
조건부,Conditional
조문,Condolence
행위,Conduct
연합,Confederation
회의,Conference
협약,Conferment
신뢰,Confidence
구성,Config
구속,Configuration
확인,Confinement
확인,Confirm
확인,Confirmation
확인됨,Confirmed
확인자,Confirmor
압수,Confiscation
연결,Connect
연결,Connection
두알라 국가위원회(Conseil National Des Douala),Conseil National Des Douala
동의,Consent
결과,Consequence
대가,Consideration
위탁,Consign
수탁자,Consignee
위탁,Consignment
위탁증서,Consignment note
위탁인,Consignor
일관성,Consistency
일관성,Consistent
콘솔,Console
통합,Consolidated
통합,Consolidation
통합자,Consolidator
상시,Constant
건설,Construction
컨설턴트,Consultant
컨설팅,Consultation
컨설턴트,Consulter
컨설팅,Consulting
소모품,Consumable
소비,Consumer
소비세,Consumption
연락처,Consumption Tax
계약자,Contact
컨테이너,Contactor
컨테이너 화물 스테이션,Container
내용,Container freight station
맥락,Contents
대륙,Context
우발 사건,Continent
계속,Contingency
계약,Continuation
계약 문서,Contract
계약자,Contract Document
모순,Contractor
위반,Contradiction
위반,Contravened
기여,Contravention
기여,Contribute
통제,Contribution
통제됨,Control
논란의 여지가 있음,Controlled
편의성,Controversial
편의성,Convenience
협약,Convention
협약 할당량,Convention Quota
협약 관세,Convention Tariff
대화,Conversation
전환,Conversion
수익으로의 전환,Conversion to revenue
양도,Conveyance
쿠키,Cookie
쿨 서플라이,Cool Supplies
협력,Cooperation
협력 정도,Cooperation Degree
좌표,Coordinates
저작권,Copy
저작권,Copyright
핵심,Core
기업,Corporate
기업,Corporation
정확,Correct
정정,Correction
상관관계,Correlation
서신,Correspond
서신,Correspondence
부패,Corruption
화장품,Cosmetics
비용,Cost
위원회,Council
위원회,Counsel
건수,Count
물품 건수,Count Of Article
카운트다운,Countdown
대응책,Counter
대응책,Countermeasure
대책,Counterplan
국가,Country
쿠폰,Coupon
택배,Courier
과정,Course
법원,Court
약정,Covenant
보장,Cover
보장 범위,Coverage
보장됨,Covered
보장된 수레,Covered Wagon
CPU,Cpu
장인,Craftsman
크레인,Crane
생성,Create
생성됨,Created
생성,Creation
자격 증명,Credential
신용,Credit
신용카드 회사,Credit Card Company
신용됨,Credited
채권자,Creditor
승무원,Crew
범죄,Crime
형사,Criminal
형사 수사,Criminal Investigation
범죄 기록,Criminal Record
위기,Crisis
기준,Criteria
중요,Critical
중요 가치,Critical Value
작물,Crop
단면적,Cross Section
교배,Crossbreeding
교배,Crossing
순항,Cruising
Cs,Cs
Ctr,Ctr
큐브,Cube
입방,Cubic
입방미터,Cubic Meter
입방피트(ft³),Cubic feet ft3
재배,Cultivation
누적,Cumulative
Cuo,Cuo
통화,Currency
현재,Current
보관,Custody
고객,Customer
세관,Customs
세관 중개인,Customs Broker
통관,Customs Clearance
세관원,Customs Collector
세관 서비스,Customs Service
세관 절차 코드,Customs procedure code
세관 처리 수수료,Customs processing fee
세관 창고,Customs warehouse
마감일,Cutoff
절단일,Cutting
CVC,Cvc
Cy,Cy
Cyber,Cyber
Cycle,Cycle
Cylinder,Cylinder
D,D
DCTICD,DCTICD
조난 통지서,DIstress Notice
DMC,DMC
DRD,DRD
일일,Daily
일용품,Daily Necessity
손상,Damage
손상됨,Damaged
위험물,Dangerous goods
대시보드,Dash
대시보드,Dashboard
데이터,Data
데이터베이스,Database
날짜,Date
생년월일,Dateofbirth
사망일,Dateofdeath
일,Day
일수,Day Count
요일,Day of week
일수,Days
비활성화됨,Deactivated
비활성화자,Deactivater
비활성화,Deactivation
비활성화됨,Deactive
마감일,Deadline
딜러,Dealer
거래,Dealings
사망,Death
사채,Debenture
차변,Debit
부채,Debt
채무자,Debtor
채무자,Debtors
12월,December
임의 결정,Deciding Arbitrarily
소수,Decimal
결정,Decision
신고인,Declarant
신고,Declaration
신고서,Declaration Sheet
신고자,Declarator
신고 적재,Declare Loading
신고됨,Declared
신고자,Declarer
감소,Decrease
감소,Decreasing
공제,Deduction
증서,Deed
증여증서,Deed of Gift
기본,Default
결함,Defect
피고,Defendant
보류,Defer
보류,Deferment
보류,Deferred
이연 자본재,Deferred Capital Goods
이연 소득,Deferred Income
이연 지급,Deferred Payment
부족,Deficiency
부족,Deficit
정의,Definition
도,Degree
도 수,Degree Count
그룹화 해제,Degroupage
지연,Delay
위임자,Delegator
삭제,Delete
삭제자,Deleter
심의,Deliberation
연체,Delinquency
지급 연체,Delinquency In Payment
연체,Delinquent
납품,Delivered
납품자,Deliverer
납품,Delivery
납품 지점,Delivery Point
납품 주문,Delivery order
수요,Demand
수요 통지,Demand Notice
수요자,Demander
시연,Demonstration
거부,Denied
분모,Denominator
밀도,Density
출발 및 도착,Depart And Arrival
부서,Department
출발,Departure
출발 국가,Departure From Country
출발지,Departure Place
출발 금지 명령,Departure Prohibition Order
출발역,Departure Station
종속국,Dependency
배치,Deploy
배치,Deployment
예치,Deposit
보관소,Depositary
예치 중,Depositing
예치인,Depositor
창고,Depot
감가상각,Depreciation
담당 부서,Dept In Charge
깊이,Depth
대기열에서 제거,Dequeue
등록 해제,Deregistered
등록 해제,Deregistration
파생,Derivation
설명,Description
설계,Design
지정,Designation
희망 가치,Desired Value
책상,Desk
목적지,Destination
파기,Destroy
파기,Destroyed
파기,Destruction
분리,Detached
상세,Detail
상세 분류,Detail Classification
상세 가치,Detail Value
상세 설명,Detailed Statement
상세,Details
탐지,Detection
탐지기,Detector
억류,Detention
판정,Determination
판정,Determined
우회,Detour
파괴,Devastation
개발,Development
편차,Deviation
장치,Device
DGI,Dgi
진단,Diagnosis
도표,Diagram
직경,Diametre
일지,Diary
사전,Dictionaray
디젤,Diesel
차이점,Difference
차이점,Different
차이점 의견,Different Opinion
어려움,Difficulties
확산,Diffusion
요약,Digest
숫자,Digit
디지털,Digital
디지털화,Digitalized
차원,Dimension
차원,Dimensions
딥,Dip
외교관,Diplomat
외교적,Diplomatic
직접,Direct
하역 후 직접 화물 제거,Direct Cargo Removal After Discharge
직접 수출,Direct exportation
지시,Direction
지시,Directive
감독관,Director
디렉토리,Directory
불능화,Disable
불허,Disallowed
재난,Disaster
폐기,Discard
하역,Discharge
하역됨,Discharged
징계,Discipline
공개,Disclose
공개,Disclosure
불만,Discontent
할인,Discount
발견자,Discoverer
발견,Discovery
불일치,Discrepancy
논의,Discuss
논의,Discussion
질병,Disease
질병 및 해충 방제,Disease And Insect Control
불명예,Dishonor
소독,Disinfectoin
디스크,Disk
디스켓,Diskette
해체,Dismantlement
해고,Dismissal
불복종,Disobedience
파견,Dispatch
파견자,Dispatcher
분산,Disperse
이동,Displacement
전시,Display
처분,Disposal
처분,Disposition
분쟁,Dispute
분쟁,Disputed
자격 박탈,Disqualification
자격 박탈,Disqualified
불만,Dissatisfaction
유포,Dissemination
유포자,Disseminator
해산,Dissolution
거리,Distance
거리1,Distance1
거리2,Distance2
거리3,Distance3
거리4,Distance4
구별,Distinct
구별,Distinction
압류,Distraint
압류 담당자 비용,Distraint Agent Costs
압류,Distress
압류 영장,Distress warrant
분배,Distribute
분배,Distribution
구역,District
방해,Disturbance
폐기,Disuse
분할,Divide
분할,Division
도착,Dock
문서,Document
도메인,Domain
거주지,Domecile
국내,Domestic
기증,Donation
완료,Done
기증자,Donor
문,Doors
휴면,Dormancy
도르사산,Dorsasan
선량계,Dosimeter
이중,Double
의심,Doubt
다운로드,Download
초안,Draft
초안 작성자,Drafter
단점,Drawback
서랍,Drawer
그림,Drawing
그림,Drawn
음주,Drink
운전,Drive
운전자,Driver
운전,Driving
운전면허증,Driving license
운전학원,Driving school
낙하,Dropping
낙하,Drops
낙하 위반,Drops Offence
약물,Drug
약물,Drugs
이중성,Duality
이중화,Dualization
만기,Due
더미,Dummy
더미 속 채우기,Dummy stuffing
덤핑,Dumping
중복,Duplicate
중복,Duplication
기간,Duration
과세 가능,Dutiable
관세,Duty
면세점,Duty Free Shop
전자책,E
전자책,EBook
EFD,EFD
EFDMS,EFDMS
수입,EMONEY
EMTL,EMTL
EPC,EPC
ERV,ERV
ETI,ETI
ETSMS,ETSMS
각각,Each
귀,Ear
조기,Early
조기 경고,Early warning
수입,Earning
완화,Easing
동아프리카 공동체,East african community
경제,Economic
경제,Economy
생태,Ecor
편집,Edit
편집 가능,Editable
편집 중,Editing
판,Edition
편집자,Editor
교육,Education
효과,Effect
효과적,Effective
효과성,Effectiveness
효과,Effects
효능,Efficacy
Efta,Efta
경과,Elapsed
전기,Electricity
전자,Electronic
전자 화물 추적,Electronic cargo tracking
전자 화물 추적 시스템,Electronic cargo tracking system
전자 원산지 증명서,Electronic certicate of origin
전자 라이브러리,Electronic library
요소,Element
엘리베이터,Elevator
적격,Eligible
기타,Elsewhere
이메일,Email
이메일1,Email1
이메일2,Email2
탑승,Embarkation
탑승됨,Embarked
탑승자,Embarker
구현,Embodiment
비상,Emergency
이모티콘,Emoji
직원,Employee
직원들,Employees
고용주,Employer
고용,Employment
빈,Empty
빈 컨테이너,Empty Container
Ems,Ems
활성화,Enable
제정,Enactment
동봉,Enclosure
조우,Encounter
암호화,Encrypted
암호화,Encryption
종료,End
배서인,Endorsee
배서인,Endorsement
배서인,Endorser
종료점,Endpoint
에너지 및 수도 시설 규제 당국,Energy and water utilities regulatory authority
시행,Enforce
시행,Enforcement
참여,Engage
참여,Engagement
기관,Engine
엔지니어,Engineer
영어,English
확대,Enlargement
계몽,Enlightenment
입대,Enlistment
진입,Enter
엔터프라이즈,Enterprise
엔터프라이즈 개수,Enterprise Count
엔터티,Entity
입국 회사,Entrance Company
입국 국가,Entrance Country
입국자,Entrant
기업가,Entrepot
위탁,Entrust
위탁,Entrusting
입국,Entry
입항,Entry Into Port
입항 및 이륙,Entry Into Port & Take-Off
가정용 입국,Entry for home use
창고용 입국,Entry for warehousing
봉투,Envelope
환경,Environment
장비,Equipment
지분,Equity
등가물,Equivalent
삭제,Erasure
오류,Error
오류 키,Error key
에스크로,Escallation
봉인,Escrow
에센스,Eseal
필수,Essence
설립 세금,Essential
설립,Established TAX
재산,Establishment
부동산,Estate
추정,Estimate
추정,Estimated
추정,Estimation
에탄올,Ethanol
Eu,Eu
Eur,Eur
대피,Evacuation
탈피,Evaded
평가,Evaluation
평가자,Evaluator
탈피,Evasion
사건,Event
증거,Evidence
증거 문서,Evidentiary Document
시험,Exa
시험,Exam
시험,Examination
시험관,Examiner
시험기관,Examining Body
예시,Example
Excel,Excel
Excellence,Excellence
목적 제외,Except For Purpose
예외,Exception
초과,Excess
초과 연령,Excess age
교환,Exchange
소비세 부과 대상,Excisable
소비세,Excise
제외,Exclude
제외,Excluding
제외,Exclusion
독점,Exclusive
집행,Execute
집행,Execution
집행인,Executive
집행자,Executor
면제,Exempt
면제,Exempted
면제,Exempted
면제,Exemption
행사,Exercise
전시,Exhibit
전시,Exhibition
존재,Exist
존재,Existence
존재와 비존재,Existence And Nonexistence
존재,Existing
종료,Exit
종료 노트,Exit note
확장,Expansion
기대,Expectation
예상,Expected
지출,Expend
지출,Expenditure
지출,Expense
지출,Expenses
경험,Experience
실험,Experiment
전문가,Expert
만료,Expiration
만료,Expiry
설명,Explanation
폭발물,Explosive
폭발물,Explosives
지수,Exponent
수출,Export
수출 신고,Export Declaration
수출 이행,Export Fulfilment
수출 장소,Export Place
수출 가공 구역,Export processing zone
수출자,Exporter
노출,Exposure
표현,Expression
확장,Extend
확장됨,Extended
확장 가능한 마크업 언어,Extensible markup language
확장,Extension
확장 출발 금지 명령,Extension Departure Prohibition Order
말살,Extermination
외부,External
외부 포털,External Portal
멸종,Extinction
근무 시간 이후 추가 개방,Extra Opening After Office Hours
추출,Extract
추출,Extraction
엑스트라넷,Extranet
눈,Eye
F,F
F43,F43
F89,F89
페이스북,Face
페이스북,Facebook
시설,Facility
직면,Facing
사실,Fact
요인,Factor
공장,Factory
장애 조치,Failover
고장,Failure
낙하,Fall
거짓,Falsehood
위조,Falsify
가족,Family
가족 이름,Family Name
자주 묻는 질문,Faq
농장,Farm
농가,Farmhouse
고정됨,Fastened
결함,Faulty
즐겨찾기,Favorites
팩스,Fax
특징 및 의류,Features And Clothes
2월,Febuary
수수료,Fee
피드,Feed
피드백,Feedback
발,Feet
여성,Female
섬유질,Fiber
가상,Fictive
필드,Field
파일,File
파일 폴더,File Folder
파일링,Filed
파일링,Filing
채우기,Filling
채우기,Fills
필름,Filter
필터,
금융,Finace
최종,Final
금융,Finance
금융,Financial
자금 제공자,Financier
자금 조달,Financing
펀드,Find
찾기,Finder
파인더,Finding
찾는 중,Fine
벌금,Fines
벌금,Finger
핑거,Finish
화재,Fire
총기류,Firearms
방화벽,Firewall
펌웨어,Firmware
첫 번째,First
재정,Fiscal
어업,Fishery
수리,Fix
수리 중,Fixing
경기 일정,Fixtures
플래그,Flag
평일 요금,Flatrate
플렉사일,Flexile
항공편,Flight
항공편명,Flight Name
항공편 번호,Flight no
플로트,Float
층,Floor
층수,Floor Number
유량,Flow
유량계,Flow meter
Flv,Flv
비행,Flying
폴더,Folder
후속 조치,Follow-up
팔로잉,Following
후속 조치,Followup
글꼴,Font
음식,Food
바닥글,Footer
비공개용,For Non Verification
공식 용도,For Official Use
확인용,For Verification
외국,Foreign
외화,Foreign Currency
외환,Foreign Exchange
환율,Foreign Exchange Rates
외국 소득,Foreign Income
외국 키,Foreign key
외국인,Foreigner
법의학,Forensic
위조,Forge
양식,Form
형식,Formality
형식,Format
수식,Formula
수식,Formular
40,Forty
포럼,Forum
포워드,Forwaded
포워드,Forward
포워더,Forwarder
파운데이션,Foundation
네번째,Fourth
Fr,Fr
프레임워크,Framework
사기 방지,Fraud
무료,Free
무료 운송,Free carrier
무료 기내 반입,Free on board
무료 생수,Free water
무료 탑승,Freeboard
자유,Freedom
프리웨어,Freeware
화물,Freight
프랑스어,French
빈도,Frequency
금요일,Friday
출발지,From
앞,Front
과일,Fruitage
FTA,Fta
FTC,Ftcs
연료,Fuel
이행,Fulfill
이행,Fulfillment
